Active 	BUS2017-01949	DODSON TECHNICAL SERVICES INC 	4925 E HUNTER AVE, 92807 	VIBRATION AND EQUIPMENT TEST SERVICE  
Finaled 	BUS2018-01117	SEARCHERS GEM & MINERAL SOCIETY 	10482 SCHOONER, 48938 	36 BOOTHS (SHOW @ BROOKHURST COMMUNITY CENTER MAY 5-6, 2018) 
Active 	BUS2018-01118	SIRIUS AGRICULTURE  	208 W SIRIUS AVE, 92802 	OFFICE USE ONLY FOR SALES OF HOMEMADE ORAGANIC PRODUCTS  
Active 	BUS2018-01119	BECHTEL INFRASTRUCTURE AND POWER 	16808 ARMSTRONG AVE 225, 47521 	GENERAL ENGINEERING & ELECTRICAL CONTRACTOR 
Active 	BUS2018-01120	C N C HVAC 	1037 N WANDA DR, 92805 	OFFICE USE ONLY FOR OFF-SITE HVAC SALES & SERVICE  
Active 	BUS2018-01121	BKF ENGINEERS 	255 SHORELINE DR 200, 55937 	CIVIL ENGINEERING & SURVEYING CONSULTING SERVICES 
Active 	BUS2018-01122	BAYLEY CONSTRUCTION, LP 	8005 SE 28TH ST, 58898 	General Building Contractor 
Active 	BUS2018-01123	JAVIERS CONSTRUCTION INC 	304 OCCIDENTAL DR, 54858 	General Engineering Contractor 
Active 	BUS2018-01124	T R CAREGIVING SERVICES 	2914 W RAVENSWOOD DR, 92804 	OFFICE USE FOR OFF-SITE CAREGIVING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01125	S B & ASSOCIATES HOME CARE 	1700 W CERRITOS AVE 124, 92804 	OFFICE USE FOR OFF-SITE CAREGIVING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01126	PNI CONSTRUCTION INC 	4260 ARTESIA AVE A, 45788 	General Building Contractor 
Active 	BUS2018-01127	DISENOS ALMA 	1900 E ALMONT AVE 73, 92805 	OFFICE USE ONLY FOR RENTAL OF DECORATIONS FOR SPECIAL EVENTS ***NO OUTDOOR STORAGE*** 
Active 	BUS2018-01128	SMOG TIME 	2800 E LINCOLN AVE, 92806 	SMOG CHECK TEST ONLY WITHIN GAS STATION (1 EMPLOYEE) 
Active 	BUS2018-01129	MINERVA INVESTMENT GROUP LLC 	528 N PAULINE ST, 92805 	8 UNIT APARTMENT  
Active 	BUS2018-01130	RDM MILLWORK AND CABINETS 	760 E LAMBERT RD F, 47380 	Cabinet, Millwork and Finish Carpentry 
Active 	BUS2018-01131	VIC'S CONCRETE BREAKING & REMOVAL I 	1210 N JEFFERSON ST A, 92807 	CONCRETE RELATED SERVICES 
Active 	BUS2018-01132	COAST BUILDING PRODUCTS 	645 E HARRISON ST 100, 97346 	Insulation and Acoustical  
Active 	BUS2018-01133	WANZEK CONSTRUCTION INC 	2200 E WINSTON RD, 92806 	GENERAL CONTRACTOR (SUBLEASE OFFICE) 
Active 	BUS2018-01134	KEMPTON MACHINE WORKS INC 	4070 E LEAVERTON CT, 92807 	TOOL MANUFACTURING  
Active 	BUS2018-01135	STITCH WIRE SYSTEMS CORP 	1250 N LAKEVIEW AVE E, 92807 	MANUFACTURING OF ELECTRONIC COMPONETS 
Active 	BUS2018-01136	QUEENS BEAUTY SALON & THE BARBERS S 	503 N ANAHEIM BLVD, 92805 	INDEPENDENT BARBER WORKING WITHIN QUEENS BEAUTY SALON AND THE BARBER'S SPA (LIC # B96161) 
Active 	BUS2018-01137	WORLD INTERNATIONAL PCB, INC 	1250 N LAKEVIEW AVE E, 92807 	OFFICE USE FOR BROKER OF CIRCUIT BOARDS 
Active 	BUS2018-01138	STRAIGHTLINE BACKFLOW INC 	1639 ARMOUR LN, 03701 	Plumbing Contractor 
Active 	BUS2018-01139	VARTECH ELECTRONICS 	6131 ORANGETHORPE AVE 425, 49945 	Electrical Contractor 
Active 	BUS2018-01140	DOSE CAFE 	510 N EUCLID ST, 92801 	COFFEE SHOP  
Finaled 	BUS2018-01141	MOUNA THREADING 	3414 W BALL RD J, 92804 	EYEBROW THREADING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01142	COTTAGES AT OLIVE LLC THE  	116 S OLIVE ST, 92805 	APARTMENT RENTALS OPERATOR (12 UNITS) 
Active 	BUS2018-01143	ALLEN PROPERTIES 	25531 COMMERCENTRE DR 150, 99516 	PROPERTY MANAGEMENT SERVICES (1 EMPLOYEE) 
Active 	BUS2018-01144	MARK T WALTERS 	1972 ADOBE AVE, 97346 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01145	TESLYTE LLC 	155 E LIBERTY AVE G,H, 92801 	DESIGN AND MANUFACTURING OF LED LIGHTING 
Active 	BUS2018-01146	PARK PLUS CALIFORNIA TURN KEY CONST 	8640 TAMARACK AVE, 87623 	General Building Contractor 
Active 	BUS2018-01147	PISTI ELECTRIC INC 	5673 LOS AMIGOS ST, 49945 	Electrical Contractor 
Active 	BUS2018-01148	THE ANNA DAVIS GROUP 	7549 CONVOY CT, 95710 	Window Coverings 
Active 	BUS2018-01149	SPEEDY CLEANING 	2631 W FELICIDAD CIR C,  	OFFICE USE ONLY FOR OFF-SITE HOUSE CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01150	WHITESTAR LABORATORIES 	920 E ORANGETHORPE AVE D, 92801 	DENTAL LAB (3 EMPLOYEES) 
Active 	BUS2018-01151	MBM AND ASSOCIATES PC 	160 S OLD SPRINGS RD 250, 92808 	LAW FIRM 
Active 	BUS2018-01152	GREENLEAF CARPET CLEANING 	1770 W GREENLEAF AVE, 92801 	OFFICE USE ONLY FOR OFF-SITE CARPET CLEANING SERVICES **NO EMPLOYEES** 
Active 	BUS2018-01153	DARLING NAILS (CAO, NIKI)  	5599 E SANTA ANA CANYON RD, 92807 	INDEPENDENT NAIL STYLIST/MANICURIST - CAO, NIKI MY (LIC # M336312) 
Active 	BUS2018-01154	GATES CONSTRUCTION 	29685 BOYNTON LN, 46724 	General Building Contractor 
Active 	BUS2018-01155	DARLING NAILS (LE, HA) 	5599 E SANTA ANA CANYON RD, 92807 	INDEPENDENT NAIL STYLIST/MANICURIST - LE, HA (LIC # M334243) 
Active 	BUS2018-01156	A - BRITE COMMERCIAL & RESIDENTIAL  	2449 STROZIER AVE, 84421 	Construction Cleanup 
Active 	BUS2018-01157	HANA NATURAL LLC 	355 N LAKEDALE DR, 92807 	ONLINE RETAIL- CONSUMER PRODUCT 
Active 	BUS2018-01158	KEMMERER DESIGN ARCHITECTURE INC 	228 CREST AVE, 45363 	LICENSE ARCHITECT LIC #C29552, EXP. 06-30-2019 
Active 	BUS2018-01159	MELLIS SWEETS 	2201 W BROADWAY B119, 92804 	OFF-SITE CATERING SERVICES (PASTRIES) (COTTAGE FOOD PERMIT A: LIC # PR0111226 EXP 2/28/2019) 
Active 	BUS2018-01160	R A DARRACQ CONCRETE 	1015 LA SALLE CIR, 97346 	Concrete Contractor 
Active 	BUS2018-01161	AUSTIN PATCH'S TECH SERVICES 	909 S KNOTT AVE 38, 92804 	OFFICE USE ONLY FOR LARGE FORMAT PRINTER, COMPUTER, AND NETWORK SERVICES 
Finaled 	BUS2018-01162	HIGH DESERT GUNITE 	6720 FOLEY RD,  	Swimming Pool Contractor 
Active 	BUS2018-01163	CORE 	1815 S WESTSIDE DR,  	APARTMENT BUILDING OPERATOR (400 UNITS)  
Active 	BUS2018-01164	YUCO STUDIOS 	1871 W NUTWOOD PL, 92806 	OFFICE USE ONLY FOR PHOTOGRAPHY, GRAPHIC DESIGN AND VIDEO PRODUCTION SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01165	CORDOVA ACCOUNTANCY INC 	8041 E WOODSBORO AVE, 92807 	OFFICE USE ONLY FOR TAX PREPARATION 
Active 	BUS2018-01166	SHORT & SWEET PHOTOGRAPHY 	8200 E WHITE FIR LN, 92808 	OFFICE USE ONLY FOR PHOTOGRAPHY 
Active 	BUS2018-01167	URBAN METERS & READERS CONSTRUCTION 	535 TYRONE ST, 93907 	General Building Contractor 
Active 	BUS2018-01168	OREGON CONTRACTING 	1224 S HESPERIAN ST 1, 45574 	Electrical Contractor 
Active 	BUS2018-01169	IQA CONSTRUCTION INC 	4089 E CONANT ST, 05496 	General Engineering Contractor 
Active 	BUS2018-01170	NEV ELECTRIC INC 	27741 BUCKSKIN DR, 57751 	Electrical Contractor 
Active 	BUS2018-01171	MILAN SOCAL LLC 	100 S ANAHEIM BLVD, 92805 	NON-RESIDENTIAL PROPERTY OWNER (SQ FT 50,272) 
Active 	BUS2018-01172	MIKES PORTABLE WELDING 	21311 LOPEZ ST, 83408 	Welding Contractor 
Active 	BUS2018-01173	ORION TILE 	900 E VERMONT AVE, 92805 	WHOLESALES OF FLOORING PRODUCTS & INSTALLATION  
Active 	BUS2018-01174	OBSESSED FOUR DETAIL 	1012 E 18TH ST, 45574 	MOBILE AUTO DETAILING SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01175	LYNYES TREE & LANDSCAPING SERV 	711 N BUSH ST, 92805 	OFFICE USE FOR LANDSCAPE AND GARDEN MAINTENANCE SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01176	FONSECAS HANDYMAN 	1247 N GROTON ST, 92801 	HOME OFFICE FOR OFF-SITE HANDYMAN SERVICES (NO EMPLOYEES) 
Finaled 	BUS2018-01177	BRIAN OSLIN DESIGN & DRAFTING 	8621 BELLMEAD DR, 45363 	DRAFTING SERVICES 
Active 	BUS2018-01178	CRAFTSMAN PIZZA BAR GRILL 	5645 E LA PALMA AVE 170, 92807 	FULL SERVICE RESTAURANT & BAR 
Active 	BUS2018-01179	FAST TRAK PERMIT SERVICE 	5030 VICEROY AVE, 47367 	PERMIT EXPEDITING SERVICE (ONE EMPLOYEE) 
Active 	BUS2018-01180	CAL WEST PROPERTY GROUP INC 	240 S CALLE DANA, 92807 	OFFICE USE ONLY FOR WHOLESALE OF AUTOS (REG2018-00023)  
Active 	BUS2018-01181	ECOTECH REFRIGERATION & HVAC INC 	1630 S SUNKIST ST P,Q,R, 92806 	REFRIGERATION MAINTENANCE AND REPAIR 
Active 	BUS2018-01182	FOUR BROTHERS CHAVEZ COMPANY MOBILE 	307 N TUSTIN AVE C, 92807 	OFFICE USE ONLY FOR OFF-SITE MOBILE CAR WASH SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01183	BUILDIAN CONSTRUCTION SERVICES INC 	575 ANTON BLVD 300, 47540 	General Building Contractor 
Active 	BUS2018-01184	DOUBLE D BBQ REPAIR 	425 N RONI LN, 92807 	OFFICE USE ONLY FOR BARBECUE REPAIR SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01185	DISNEYLAND RESORT 	1313 S HARBOR BLVD, 92802 	ARCHITECTURE AND ENGINEERING SERVICES 
Active 	BUS2018-01186	DRIFT INTO INK 	855 S HARBOR BLVD, 92805 	TATTOO SHOP 
Active 	BUS2018-01187	ORANGE PARK GUEST HOME I 	835 S HAYWARD ST, 92804 	NURSING & RESIDENTIAL CARE FOR THE ELDERLY/ FACILITY # 306005432 MAX CAPACITY: 6 PERSONS (1 EMPLOYEE) 
Active 	BUS2018-01188	WYNDHAM GARDEN ANAHEIM MOTEL 	515 W KATELLA AVE, 92802 	HOTEL/MOTEL 
Active 	BUS2018-01189	SANDY LIU ARCHITECTURE & DESIGN 	530 S LAKE AVE 147, 85772 	ARCHITECTURE AND DESIGN [STATE LIC #C31120 EXP. 02-28-19] 
Active 	BUS2018-01190	CECYS DEEP CLEANING SERVICES  	2515 W LINCOLN AVE 26, 92801 	OFFICE USE ONLY FOR OFF-SITE CLEANING SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01191	PLATINUM PLUS FLOORING 	2158 W VICTORIA AVE, 45631 	Flooring and Floor Covering 
Active 	BUS2018-01192	VALTRIM 	2900 ADAMS ST A-10, 93590 	Cabinet, Millwork and Finish Carpentry 
Active 	BUS2018-01193	QUEEN NAILS (NGUYEN, NHAN) 	240 W LINCOLN AVE, 92805 	INDEPENDENT MANICURIST: NGUYEN, NHAN STATE LICENSE; M145371 EXP 01/31/2019 
Active 	BUS2018-01194	SUNSET HAVEN PERSONAL CARE SERVICES 	2051 S EILEEN DR, 92802 	RESIDENTIAL NON MEDICAL CARE FACILITY FOR THE ELDERLY (NO EMPLOYEES) (6 OR FEWER PERSONS) 
Active 	BUS2018-01195	ANSU FOFANA 	16698 SWIFT FOX AVE, 94655 	General Building Contractor 
Active 	BUS2018-01196	ROOTER HERO PLUMBING 	1328 S ALLEC ST, 45631 	General Engineering Contractor 
Active 	BUS2018-01197	CALIFORNIA STREET LIGHTING 	3200 GUASTI RD 100, 46274 	Electrical Contractor 
Active 	BUS2018-01198	BRAVO PATIO COVERS 	13105 APRIL DR 2, 46893 	Awnings 
Active 	BUS2018-01199	CUSTOM DESIGN SCREEN PRINTING 	3148 E LA PALMA AVE L, 92806 	WAREHOUSE / WHOLESALE AND SCREEN PRINTING SERVICES (3 EMPLOYEES) 
Active 	BUS2018-01200	SURPLUS CONSTRUCTION 	1300 W RICKY LN, 45631 	General Building Contractor 
Active 	BUS2018-01201	SURPLUS GRANITE INC 	1300 W RICKY LN, 45631 	ADMINISTRATIVE OFFICE FOR HOLDING COMPANY  
Active 	BUS2018-01202	ENVISCO CO 	1661 N RAYMOND AVE 145, 92801 	WAREHOUSEING WITH ONLINE SALES OF SPORTING GOODS 
Active 	BUS2018-01203	ELITE CUSTOM CONSTRUCTION INC 	13222 BROOKHURST ST, 45301 	General Building Contractor 
Finaled 	BUS2018-01204	GUADAGNO AND SONS AMUSEMENTS & G & 	12842 VALLEY VIEW ST 103, 45301 	3 DAY CARNIVAL AT ST ANTHONY CLARET CHURCH MAY 18-20, 2018 12 RIDES, 6 GAMES **SEP2018-00039** 
Active 	BUS2018-01205	LISA WORKIZER 	3525 W CERRITOS AVE, 92804 	OFFICE USE ONLY FOR QUICK BOOK PRO ADVISOR 
Active 	BUS2018-01206	RAWLINGS ELECTRIC INC 	2112 S TREMONT ST, 97584 	Electrical Contractor 
Active 	BUS2018-01207	PMY RETAIL & ECOMMERCE CORPORATION 	1415 W NORTH ST 201, 92801 	OFFICE USE ONLY FOR ONLINE SALES 
Active 	BUS2018-01208	3 REYES MARKET 	1523 W KATELLA AVE 101, 92802 	CONVENIENCE MARKET & EATING PLACE 
Active 	BUS2018-01209	EMPIRE BUILDER 	310 N COFFMAN ST, 92805 	Office use only for off-site General Building Contractor 
Finaled 	BUS2018-01210	JESUS A VALENZUELA 	13438 BIOLA AVE, 45217 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01211	R C ROOFING 	7322 21ST ST 9, 48938 	Roofing Contractor 
Active 	BUS2018-01212	C J P EVENT SOLUTION 	1125 E OAK ST, 92805 	OFFICE USE ONLY FOR EVENT PLANNING SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01213	ROBERT BORDERS & ASSOCIATES 	1675 SCENIC AVE 210, 47540 	ARCHITECTURE AND INTERIOR DESIGN  
Active 	BUS2018-01214	REGAL PRODUCTS INC 	419 S COLT ST, 92802 	OFFICE USE ONLY FOR WHOLESALE & RESALE 
Active 	BUS2018-01215	J D DEMOLITION AND GRADING INC 	7361 SLATER AVE, 45363 	General Engineering Contractor 
Active 	BUS2018-01216	SON POWER INDUSTRIES INC 	3435 THOUSAND OAKS BLVD 6848, 89995 	Electrical Contractor 
Active 	BUS2018-01217	PIZZA HUT 	301 S MAGNOLIA AVE, 92804 	PIZZA RESTAURANT 
Active 	BUS2018-01218	UMI OF ANAHEIM HCP 	1236 N MAGNOLIA AVE, 92801 	MEDICAL IMAGING CENTER 
Active 	BUS2018-01219	COVA CONSTRUCTION INC 	4780 W MISSION BLVD 108, 46274 	Fencing Contractor 
Active 	BUS2018-01220	NUSABI LIFE COACHING 	528 W HAMPSHIRE AVE A, 92805 	OFFICE USE ONLY FOR OFF-SITE MOTIVATIONAL SPEAKING, SELF HELP SEMINARS WITH SALES OF SELF HELP MERCHANDISE 
Active 	BUS2018-01221	DYNAGUARD 	946 N LEMON ST, 45498 	General Building Contractor 
Active 	BUS2018-01222	ADVANTAGE DOOR & HARDWARE INC 	876 N BATAVIA ST, 45498 	General Building Contractor 
Active 	BUS2018-01223	THE CRATE PEOPLE 	1812 N AMERICAN ST, 92801 	MANUFACTURING OF FURNITURE, AND ANTIQUES, AND WAREHOUSING, WHOLESALES AND ONLINE SALES 
Active 	BUS2018-01224	PREMIER DOOR INSTALLATION 	1894 IRIS WAY, 02331 	Doors, Gates and Activating Devices 
Active 	BUS2018-01225	BEN ASH IRON WORKS INC 	215 E GREENLEAF BLVD, 36363 	Structural Steel Contractor 
Active 	BUS2018-01226	TONY'S AIRE INC 	2640 RAINIER WAY, 47380 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01227	DIRECT LINK COMMUNICATIONS, LLC  	1440 S ANAHEIM BLVD B13,B15, 92805 	MARKETING SERVICES FOR SALES OF SATALLITE AND INTERNET (B13-15) (ONE EMPLOYEE) 
Active 	BUS2018-01228	PAGE 2 BARBERSHOP 	423 S BROOKHURST ST P, 92804 	BARBER SHOP OPERATOR (NO EMPLOYEES - ALL INDEPENDENTS) 
Active 	BUS2018-01229	R C A CONSTRUCTION CLEAN UP INC 	1639 S CAMPUS AVE B, 46274 	Construction Cleanup 
Active 	BUS2018-01230	DRAGONFLY CYCLE CONCEPTS 	1751 N RAYMOND AVE, 92801 	SALES OF RADIOS FOR MOTORCYCLES AND HOMES 
Active 	BUS2018-01231	INFINIUM WINES & SPIRITS 	8285 E SANTA ANA CANYON RD 105, 92808 	LIQUOR MINI MART STORE 
Active 	BUS2018-01232	TOOLS IV COMPLIANCE LLC 	3813 PASADENA AVE 29, 63814 	TOOL COMPLIANCE REGISTERED TO ANAHEIM PMB 
Active 	BUS2018-01233	VERAMUSE INC 	1515 E KATELLA AVE 5131, 92805 	HOME OFFICE USE FOR MOTION GRAPHICS AND ANIMATION DESIGN 
Active 	BUS2018-01234	C D S K3 CAFE 	602 E VERMONT AVE, 92805 	CAFETERIA (LOCATED INSIDE BUS1999-00535) 
Active 	BUS2018-01235	F C DESIGN & ASSOCIATES 	4571 DELANCY DR, 47792 	ARCHITECTURAL DESIGN SERVICES 
Active 	BUS2018-01236	M P S D MIDDLE EAST 	201 N DALE AVE F3, 92801 	OFFICE USE ONLY FOR OFF-SITE CONSULTING SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01237	I D T  	201 N DALE AVE F3, 92801 	OFFICE USE ONLY FOR WHOLESALE OF EDUCATIONAL DENTAL SUPPLIES  
Active 	BUS2018-01238	GARAGE CONSTRUCTION 	1133 GLADYS AVE, 05496 	General Building Contractor 
Active 	BUS2018-01240	ADVANCED HOME ENERGY SOLUTIONS 	4175 E LA PALMA AVE 108, 92807 	General Building Contractor 
Active 	BUS2018-01241	ANAHEIM EXPRESS CAR WASH 	2961 W BALL RD, 92804 	CAR WASH  
Active 	BUS2018-01242	5 DOLLAR SCHOOL TEES INC 	5100 E LA PALMA AVE 116, 92807 	WHOLESALE SCREEN PRINTING 
Active 	BUS2018-01243	UBIQUE 	5329 E BERGH DR, 92807 	OFFICE USE ONLY FOR ONLINE SALES CLOTHING & MERCHANDISE  
Active 	BUS2018-01244	STEPI LLC  	1725 S AUBURN WAY 311, 92805 	OFFICE USE ONLY FOR WHOLESALE AND ONLINE SALES OF SHOES, CLOTHING & ACCESSORIES 
Active 	BUS2018-01245	CHRISTMAX LIMO 	800 S BROOKHURST ST 3B, 92804 	OFFICE USE ONLY FOR LIMOUSINE/TRANSPORTATION SERVICES (1 VEHICLE) (NO LOADING ACTIVITES) 
Active 	BUS2018-01246	PULSE MANAGEMENT GROUP INC 	3420 W LINCOLN AVE, 92804 	LOW INCOME CELL PHONE SERVICES INSIDE 99 CENTS ONLY STORE (1 EMPLOYEE) 
Active 	BUS2018-01247	NEVE DISTRIBUTING 	4945 E HUNTER AVE, 92807 	WAREHOUSE AND WHOLESALE OF APPLIANCES 
Finaled 	BUS2018-01248	IMAGINAUT ENTERTAINMENT 	908 PARKMAN AVE, 33844 	FILM PRODUCTION SERVICES APRIL 25-26, 2018 AT 3460 E LA PALMA AVE (7 EMPLOYEES)  
Active 	BUS2018-01249	BYKER CALI COURIER COMPANY 	815 E ORANGEWOOD AVE M272, 92802 	OFFICE USE ONLY FOR COURIER SERVICES (NO EMPLOYEES)  
Active 	BUS2018-01250	XIAOFEN YOU 	1834 W LINCOLN AVE O, 92804 	INDEPENDENT ESTHETICIAN WORKING INSIDE BEAUTY & HEALTH CENTER (LIC #Z124885 EXP 07/31/2019) ( NO MASSAGE THERAPY)  
Active 	BUS2018-01251	A ONE SERVICES 	2812 W LINCOLN AVE, 92804 	ANTIQUE SHOP AND APPLIANCE REPAIR  
Active 	BUS2018-01252	YANFEN TANG 	1834 W LINCOLN AVE O, 92804 	INDEPENDENT RECEPTIONIST WORKING AT BEAUTY & HEALTHCENTER  
Active 	BUS2018-01253	A V HANDYMAN 	1136 W BROADWAY 6, 92805 	OFFICE USE ONLY FOR HANDYMAN SERVICES  
Active 	BUS2018-01239	ABC SCHOOL EQUIPMENT INC 	1451 E 6TH ST, 97346 	Prefabricated Equipment 
Active 	BUS2018-01254	RK BUILD GROUP INC 	18501 COLLIER AVE, 42456 	General Building Contractor 
Active 	BUS2018-01255	ARCHITECTURAL SIGN IDENTITY INC 	1353 S BUENA VISTA ST, 46540 	Sign Installation 
Active 	BUS2018-01256	C A ARCHITECTS INC 	3633 LONG BEACH BLVD 200, 05496 	ARCHITECT SERVICES 
Active 	BUS2018-01257	GLOBAL MONITORING INC 	3151 AIRWAY AVE B2, 47540 	STAFFING SERVICES FOR HOSPITALS 
Active 	BUS2018-01258	EVENFLOW INC 	2000 CORPORATE DR 207,  	Plumbing Contractor 
Active 	BUS2018-01260	J & B ENGINEERS, SURVEYORS 	13670 DANIELSON ST G, 95784 	LAND SURVEYING 
Active 	BUS2018-01259	PRATT EQUIPMENT CORP 	1312 MORNING GLORY LN, 97241 	General Engineering Contractor 
Active 	BUS2018-01261	IRVINE PIPELINE COMPANY INC 	5959 JASMINE ST, 46893 	General Engineering Contractor 
Active 	BUS2018-01262	SERVPRO OF WHITTIER 	9245 SANTA FE SPRINGS RD, 28010 	General Building Contractor 
Active 	BUS2018-01263	CRISTALS BOUTIQUE 	1440 S ANAHEIM BLVD I36,I38, 92805 	RETAIL SALES OF WOMEN'S CLOTHING 
Active 	BUS2018-01264	F C ROBERTS 8 LLC 	933 S ROBERTS ST, 92802 	APARTMENT BUILDING OWNER 8 UNITS 
Active 	BUS2018-01265	A G SALON 	2612 W LINCOLN AVE 209, 92804 	NAIL SALON 
Active 	BUS2018-01266	ROBERT HART 	12742 ADELLE ST 3, 45301 	Warm-Air Heating, Ventilating and Air Cond 
Active 	BUS2018-01267	OASIS PRODUCTS 	911 S WEBSTER AVE 21, 92804 	OFFICE USE ONLY FOR OFF-SITE SALES OF PASTIRES AT FARMERS MARKETS, FAIRS AND SPECIAL EVENTS 
Active 	BUS2018-01268	REVVED LLC 	2948 W BRIDGEPORT AVE, 92804 	OFFICE USE ONLY FOR ONLINE SALES OF MALE SUPPLEMENTS 
Active 	BUS2018-01269	V I P BARBER & BEAUTY SALON 	956 S ANAHEIM BLVD D, 92805 	BEAUTY SALON 
Active 	BUS2018-01270	OKAYAMA KOBO BAKERY & BIZEN BAR 	149-161 W CENTER STREET PROMENADE, 92805 	BAKERY CAFE 
Active 	BUS2018-01271	DAVIS PAINTING 	1134 N COZY PL, 92806 	Office use only for off-site Painting and Decorating Contractor 
Active 	BUS2018-01272	MUNOZ HEALTHCARE INC 	1741 W ROMNEYA DR A, 92801 	PEDIATRIC HEALTHCARE CLINIC 
Active 	BUS2018-01273	LARRY GIBSON ARCHITECT 	5491 WESTMORELAND DR, 47792 	ARCHITECTURAL SERVICES 
Active 	BUS2018-01274	PLUG IT IN SYSTEMS INC 	14719 1/2 OXNARD ST, 87812 	Electrical Contractor 
Active 	BUS2018-01275	JAMESLUKEBURKECREATIVE 	1791 S CAMPTON AVE 241, 92805 	OFFICE USE ONLY OF RESALE OF ARTS & CRAFTS  
Active 	BUS2018-01276	ANAHEIM POOL CLEANING 	1520 OPAL LN, 28928 	FOR MAILING PURPOSES FOR POOL CLEANING SERVICES ***ANAHEIM MAILING ADDRESS***  
Active 	BUS2018-01277	ALLBRAND TRAVEL & TOUR 	1884 S FLIPPEN DR, 92802 	HOME OFFICE FOR REGISTERED SELLER OF TRAVEL AND TOURS (NO EMPLOYEES) 
Active 	BUS2018-01278	BODIES GLASS SERVICE 	5722 WESTMINSTER BLVD, 48938 	Glazing Contractor 
Active 	BUS2018-01279	BUBBLE SCREEN MOBILE REPAIR CENTER 	5769 E SANTA ANA CANYON RD K, 92807 	RETAIL PHONE REPAIR SERVICES WITH ACCESSORY SALES 
Active 	BUS2018-01280	NEURO SPINE AND HEADACHE PAIN MANAG 	5150 E LA PALMA AVE 203, 92807 	ADMINISTRATIVE OFFICE ONLY FOR BILLING SERVICES (2 EMPLOYEES) (NO MEDICAL SERVICES PROVIDED AT THIS LOCATION) 
Active 	BUS2018-01281	SAMA TOURS FOR HAJJ AND OMRAH 	760 N EUCLID ST 110, 92801 	"SUBLEASE SPACE ADMINISTRATIVE OFFICE USE FOR ARRANGE GROUPS TO TRAVEL TO SAUDI ARABIA FOR TRAVEL AND TOURS ""HAJJ & UMMRAH"" (NO EMPLOYEE) "
Active 	BUS2018-01282	INTECORE PHYSICAL THERAPY 	1211 W LA PALMA AVE 602, 92801 	MEDICAL OFFICE FOR PHYSICAL THERAPY (1 EMPLOYEE) 
Active 	BUS2018-01283	GEN WEST CONSTRUCTION 	471 MEDFORD CT 102, 05496 	General Building Contractor 
Active 	BUS2018-01284	CEMPROTOTYPE, LLC  	155 E LIBERTY AVE H, 92801 	ELECTRONIC ASSEMBLY 
Active 	BUS2018-01285	PAREDES CHILD CARE 	308 N MONTEREY ST, 92801 	SMALL DAY CARE CENTER (6 OR FEWER CHILDREN) 
Active 	BUS2018-01286	RYTECH OF NOTHERN ORANGE COUNTY 	2211 E WINSTON RD D, 92806 	WAREHOUSE WITH ACCESSORY OFFICE ARE FOR RESTORATION SERVICES (EMPLOYEES INCLUDE BUS2018-01286) 
Active 	BUS2018-01287	RYTECH OF CENTRAL ORANGE COUNTY 	2211 E WINSTON RD D, 92806 	WAREHOUSE WITH ACCESSORY OFFICE ARE FOR RESTORATION SERVICES (EMPLOYEERS REPORTED ON BUS2018-01286) 
Active 	BUS2018-01288	MUNOZ URGENT CARE INC 	1741 W ROMNEYA DR A, 92801 	MEDICAL URGENT CARE CLINIC (NO EMPLOYEES) 
Active 	BUS2018-01289	M A X COURIER 	519 S JEANINE ST, 92806 	OFFICE USE ONLY FOR COURIER SERVICES (NO EMPLOYEES) 
Active 	BUS2018-01290	KLEAN PLUMBING INC 	521 N ROSE ST, 92805 	OFFICE USE ONLY FOR PLUBMING CONTRACTOR  
Active 	BUS2018-01291	COMMUNITY BANK 	2300 E KATELLA AVE 125, 92806 	COMMUNITY BANK 
Active 	BUS2018-01292	TAYRONA CLEANING SERVICES 	15485 LAGUNA AVE, 42456 	CLEANING AND MAINTENANCE SERVICES (4 EMPLOYEES) 
Active 	BUS2018-01293	ORANGE COUNTY MABLE & GRANITE 	2899 E CORONADO ST C,D, 45631 	Ceramic and Mosaic Tile Contractor 
Active 	BUS2018-01294	CHINA TASTY & BBQ 	5624 E LA PALMA AVE C, 92807 	RESTAURANT 
Active 	BUS2018-01295	IVY SPA (BUI, NBOC) 	700 W ORANGEWOOD AVE 4, 92802 	CERTIFIED MASSAGE THERAPIST (BUI, NGOC BICH) (CMTC 39339 EXP 10/26/2018) 
